Category/tQuestion	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Animals	What is the term for the state of temporary hibernation that Hummingbirds enter when food is not available?	Hush	Stupor	Stillness	Torpor	Torpor
Animals	What is the reason for Hummingbirds short life-span?	Their fast metabolic rate	They have many predators.	They often get poisoned when feeding on nectar or insects.	Their small size	Their fast metabolic rate
Animals	The usage of raw sugars, including brown sugar, is not recommended when preparing artificial nectar for Hummingbirds. Why?	All of these	Raw sugars contain iron.	Raw sugars contain zinc.	They contain harmful heavy metals.	Raw sugars contain iron.
Animals	Aztecs are known for wearing hummingbird talismans which symbolize which of the following?	Skill at arms	Energy	Sexual potency	All of these	All of these
Animals	How did the smallest bird in the world, the Bee Hummingbird, get its name?	Because of its black-and-yellow plumage	Because it is approximately the size of a large bee	Because of the sound it make with its wings	Because it feeds on bees	Because it is approximately the size of a large bee
Animals	Where does the Giant Cowbird, a passerine bird found in South America, lay its eggs?	In other birds nests	On rocks	On balconies	On the ground	In other birds nests
Animals	The vicuna, a South American animal, is a close relative of this other animal.	Iguana	Llama	Tarantula	Chinchilla	Llama
Animals	What common name is used to denote the dolphin species Sotalia fluviatilis, indigenous to South America?	Tucuxi	Bufeo gris	All of these	Bufeo negro	All of these
Animals	What color is the head of the South American stork Jabiru, whose body is predominantly white?	Purple	Green	Black	Red	Black
Animals	What type of animal is the Gold tegu, found in South America?	Reptile	Insect	Deer	Primate	Reptile
Animals	What is the smallest species of deer in the world, found only in South America?	Northern Pudu	Marsh Deer	Southern Pudu	Antifer	Northern Pudu
Animals	What makes the Scarlet Macaw, a parrot species indigenous to South America, unsuitable for a pet?	It is very demanding.	It is extremely noisy.	It is a high maintenance pet.	All of these	All of these
Animals	What does the South American snake Lachesis muta, commonly known as South American bushmaster, do when it feels threatened?	It starts vibrating its tail.	It spreads its neck.	It hisses and dances.	All of these	It starts vibrating its tail.
Animals	Which of these statements is true about the capybara, the largest rodent on the planet, indigenous to South America?	Its front legs are a little longer than the rear legs.	None of these	It has 16 teeth.	It has a short tail.	None of these
Animals	What type of mammal is the Culpeo?	Beaver	Wild cat	Wild dog	Fox	Wild dog
Animals	Tiger sharks usually hunt alone.	True	False			True
Animals	The tiger shark is considered highly dangerous to humans.	False	True			True
Animals	The tiger shark reaches a length of 10 ft to 20 ft.	False	True			False
Animals	Unlike most sharks, the tiger shark does not grow a replacement tooth every time one is lost.	True	False			False
Animals	Which of the following is a characteristic of the tiger shark?	They can breath above water.	They have eyelids.	They give birth to live young.	They have body hair.	They give birth to live young.
Animals	What time of day does the tiger shark usually hunt?	They hunt at different times throughout the day	Early morning	Nighttime	Mid morning	Nighttime
Animals	Tiger sharks are know to eat garbage that is thrown in the water by humans.	False	True			True
Animals	Tiger sharks give birth to up to 12 live young at a time.	True	False			False
Animals	How long is the gestation period for a female tiger shark?	15-16 months	20-21 months	10-12 weeks	9-10 Months	15-16 months
Animals	Which of these is one of the nicknames of the tiger shark?	Garbage Can of the Deep	Predators that will kill	Wastebasket of the Sea	Killers of the Ocean	Wastebasket of the Sea
Animals	What does the Latin word  omnivore stand for?	Fast eater	Eating constantly	Eating whatever	Eating everything	Eating everything
Animals	Most bear species are omnivores and their diet consists mainly of what?	Tubers	Leaves	Grass	Mast	Mast
Animals	Which of these statements is NOT true about the Common Raven, a popular omnivorous bird?	It wouldnt reject carrion	It would feed on animal feces	It wouldnt eat birds	It feeds on human food waste	It wouldnt eat birds
Animals	Which of these is not within the natural diet of the omnivorous Eastern Box Turtle?	Small amphibians	Earthworms	Snails	Carrion	Small amphibians
Animals	Which of these is true about raccoons?	They do not produce enough saliva to moisten their food	They use their front paws to examine their food and remove unwanted parts	Only wild raccoons douse their food	All of these	They use their front paws to examine their food and remove unwanted parts
Animals	What is the main food source for the sloth, an omnivorous mammal living in Central and South America?	Small reptiles	Leaves	Insects	Fruit	Leaves
Animals	What bizarre food would pigs occasionally eat, being omnivores?	Tree bark	Their young	Rotting carcasses	All of these	All of these
Animals	Skunks, which are omnivorous mammals, are one of the primary predators of these animals.	Moles	Termites	Honeybees	Salamanders	Honeybees
Animals	What is the prevailing color of the fur of the Tasmanian devil?	Grey	White	Brown	Black	Black
Animals	In what part of their body do Tasmanian devils store body fat?	Abdomen	Neck	Tail	Back	Tail
Animals	What is the meaning of the word Sarcophilus, the name of the genus that the Tasmanian devil belongs to?	Devil creature	Blood-lover	Dog-like	Meat-lover	Meat-lover
Animals	At what time of the day are Tasmanian devils most active?	At night	Early morning	At noon	During the daytime	At night
Animals	Which of these statements is true about Tasmanian devils?	They are predominantly solitary animals	They live in couples	They live in groups	None of these	They are predominantly solitary animals
Animals	What does the Tasmanian devil do when it feels stressed or threatened?	It starts screaming	It plays dead	It produces a strong odour	It attacks	It produces a strong odour
Animals	Which of these statements are wrong about the reproduction of the Tasmanian devil?	The female gives birth to 20-30 young	Gestation lasts 21 days	The female has six nipples	None of these	The female has six nipples
Animals	What type of food do Tasmanian devils prefer in the wild?	Sheep	Carrion	Insects	Fish	Carrion
Animals	In May 2009 the Tasmanian devil was declared to be endangered because this disease had almost wiped out its population.	AIDS	Facial cancer	Kawasaki disease	Rabies	Facial cancer
Animals	What is the name of the Tasmanian devil cartoon character from Looney Tunes by Warner Bros.?	Taz	Tess	Devlin	Tassie	Taz
Animals	Which of these are a part of an ant colony?	All of these	Drones	Soldiers	Workers	All of these
Animals	Which of these behaviors is typical of ant societies?	Ability to solve complicated problems	Communication between individuals	Division of labor	All of these	All of these
Animals	Termites are not actually ants.	True	False			True
Animals	Which of these is true about ants diet?	All ants are herbivores.	All ants are carnivores.	Most ant species are carnivores.	Most ants are omnivores.	Most ants are omnivores.
Animals	What is the usual size range of mature ants?	From 1.5 to 12 millimeters	From 3.5 to 61 millimeters	From 2 to 33 millimeters	From 0.75 to 52 millimeters	From 0.75 to 52 millimeters
Animals	Which of the following statements is true about ants eyes and eyesight?	The eyesight of most ants ranges from poor to average, and a number of species that live underground are completely blind.	All of these	Ants have compound eyes which consist of multiple small lenses.	Ants have three simple eyes called ocelli on the top of their heads that detect light levels and polarization	All of these
Animals	How many legs do ants have?	10	6	8	4	6
Animals	Ants communicate through pheromones.	False	True			True
Animals	Which of these ways of defence and attack do ants use?	All of these	Injecting or spraying chemicals	Stinging	Biting	All of these
Animals	This chemical is found in the venom of most ants and some other insects.	Formaldehyde	Saxitoxin	Formic acid	Cyanic acid	Formic acid
Animals	Some small spider species, as well as the young of larger species, are known for floating in the wind. What is this activity commonly known as?	Skydiving	Jetting	Drifting	Ballooning	Ballooning
Animals	Which of these mollusks is able to glide over in air for up to 50 meters (164 feet)?	Oyster	Squid	Octopus	Slug	Squid
Animals	In what ocean can the 50 species of Exocoetidae, also known as flying fish, be found?	Atlantic ocean	All of these	Indian ocean	Pacific ocean	All of these
Animals	Of all the gliding animals, which one is the one best glider?	Sifaka	Flying lemurs	All of these	Flying squirrels	Flying lemurs
Animals	Which  frog is a skilled glider, able to make two types of turns midair?	Malayan flying frog	Benjamins gliding frog	Wallaces Flying Frog	Chinese gliding frog	Chinese gliding frog
Animals	Some mammals are able to glide and parachute, but bats are the only ones capable of flying.  What is the name of the membrane that forms the surface of their wings?	Reticulum	Patagium	Corticulum	Flagellum	Patagium
Animals	In what geographical region can you find the Paradise Flying Snake, also called Paradise Tree Snake?	Central and South America	North America	Australia	Asia	Asia
Animals	What kind of organism is the Greater Glider, a gliding animal indigenous to Australia?	Reptile	Fish	Amphibian	Mammal	Mammal
Animals	Where are the gliding membranes of the Draco lizard species positioned?	Between their fingers and toes	Between its front and hind legs	They do not have a gliding membrane	On their elongated ribs	On their elongated ribs
Animals	Which of these species of geckos is able to glide in the air after jumping or falling from a tree?	Gold dust day gecko	Ptychozoon	Uroplatus fimbriatus	Leopard gecko	Ptychozoon
Animals	The large tsetse fly, found in Africa, feeds on what?	All of these	Blood	Carrion	Nectar	Blood
Animals	What type of animal is the serval?	Canine	Ungulate	Reptile	Feline	Feline
Animals	What is the largest crocodilian in Africa?	Gharial	Slender-snouted Crocodile	Nile crocodile	Saltwater crocodile	Nile crocodile
Animals	What body part of the giraffe can indicate its gender?	Tongue	Teeth	Horns	Eyes	Horns
Animals	Adult Goliath beetles, found in Africas tropical forests, feed on what?	Leaves and grasses	Insects and other invertebrates	Fruits and tree sap	Carrion	Fruits and tree sap
Animals	What type of animal is the dik-dik, indigenous to Africa?	Cricket	Wild cat	Rodent	Antelope	Antelope
Animals	In cetaceans, the species identification “rorqual” comes from the Norwegian word “rorhval” which means “furrow.” These furrows are obvious on all rorqual whales. Which of the following is not a rorqual whale?	Beluga whale	Sei whale	Bryde’s whale	Minke whale	Beluga whale
Animals	Right and gray whales have been over-fished almost to extinction. Which of the following is a gray or right whale?	Bowhead whale	Blue whale	Sperm whale	Narwhal	Bowhead whale
Animals	Narwhals and belugas make up separate subspecies of cetaceans. However, taxonomists often include in it a dolphin which lives in Indo-Pacific waters. What is the name of this dolphin?	Irrawaddy dolphin	Bottlenose dolphin	Boto	Risso’s dolphin	Irrawaddy dolphin
Animals	Which whale expels a reddish-brown fluid when threatened, much like an octopus?	Dwarf sperm whale	Pygmy sperm whale	Andrew’s beaked whale	Fin whale	Pygmy sperm whale
Animals	Males of this whale species have one tooth that can grow to be 10 feet (3 m) long.	Strapped-tooth whale	Narwhal	Long-finned pilot whale	Blainville’s beaked whale	Narwhal
Animals	The largest family of whales is the beaked whales (Ziphiidae). Most of the scarce information about this family has been found from dead specimens. Their teeth are the most distinctive aspect of these whales; most have only 2-4 oversized teeth. Which whale’s teeth erupt from bulges in the lower jaw?	Stejneger’s beaked whale	Longman’s beaked whale	Blainville’s beaked whale	Arnoux’s beaked whale	Blainville’s beaked whale
Animals	The family “delphinidae” include which kind of cetacean?	Rorqual whales	Southern right whales	Porpoises	Dolphins	Dolphins
Animals	The family “phocoenidae” describe which group of cetacean?	Indus and Ganges river dolphins	Porpoises	Beaked whales	Dolphins	Porpoises
Animals	These cetaceans live off the southern coast of South America and can be found up to 150 miles (240 km) up the Amazon River. They are colored pale blue with a white underside. What is their name?	Tuxici	Amazon dolphin	South American dolphin	Franciscana	Tuxici
Animals	Sometimes called the “hooked-finned” porpoise, this animal has a barely noticeable beak. It lives in the deep waters of the northern latitudes between North America and Asia, and is a very fast swimmer (up to 20 mph / 32 km/h). What is its name?	Dusky dolphin	Dall’s porpoise	Pacific white-sided dolphin	Pantropical dolphin	Pacific white-sided dolphin
Animals	The representatives of this type of dolphins have very small eyes, making them virtually blind. They rely on echolocation to find food and swim in turbid waters. They include the baiji and boto. What are they called?	Oceanic dolphins	River dolphins	Muddy dolphins	Blind dolphins	River dolphins
Animals	This family of cetaceans has representatives like the vaquita, the harbor, and spectacled type. They are shy and stay away from boats; however, they are particularly susceptible to fishing lines, nets, and other pollution. Which is the family?	Pilot whales	River dolphins	Porpoises	Dolphins	Porpoises
Animals	This oceanic dolphin has distinctive yellow patches on its sides. It is mostly found in the northern latitudes of the Atlantic Ocean.	Atlantic white-sided dolphin	Hector’s dolphin	Atlantic yellow-sided dolphin	Common dolphin	Atlantic white-sided dolphin
Animals	This popular dolphin often herds fish onto the beach in order to eat the stranded fish. As a result, the teeth on one side (usually the right) are worn down due to eating sand as well as the fish. Which is this dolphin?	Stranded dolphin	Bottlenose dolphin	Right-sided dolphin	Spotted dolphin	Bottlenose dolphin
Animals	Which of the following do orca NOT do with their food?	Regurgitate it for their young	Throw it	Use it as a teaching tool for young orca	Slam it on the surface of the water	Regurgitate it for their young
Animals	What animal is considered the smallest mammal in length on the planet?	None of these	Pygmy Jerboa	Kittis Hog-nosed Bat	Etruscan Shrew	Kittis Hog-nosed Bat
Animals	The Microraptor, the smallest known non-avian dinosaur, inhabited this modern day area during the early Cretaceous Period 130-125.5 million years ago.	Madagascar	China	Australia	Canada	China
Animals	What kind of animal is the smallest known reptile on the planet?	Lizard	Snake	Turtle	Gecko	Gecko
Animals	This tiny frog is the smallest amphibian in the world.	Monte Iberia Eleuth	Brazilian Gold Frog	Rana Minuscula	Small Frog	Brazilian Gold Frog
Animals	What type of insect is the smallest known insect on the planet?	Cockroach	Wasp	Ant	Fly	Wasp
Animals	Which of these tiny bugs is considered the smallest beetle in the world?	None of these	Scydosella musawasensis	Nanosella	Vitusella fijiensis	Scydosella musawasensis
Animals	What type of animal is the smallest vertebrate?	Mammals	Reptiles	Amphibians	Fish	Fish
Animals	The smallest turtle in the world, the Speckled Padloper Tortoise, inhabits which of these areas?	South Asia	North Australia	South America	South Africa	South Africa
Animals	Where is its natural habitat of the smallest bird on the planet, the Bee Hummingbird?	Hawaii	All of these	Cuba and the Isle of Youth	Madagascar	Cuba and the Isle of Youth
Animals	What bacterium is believed to be the smallest living organism that is capable to grow and reproduce independently?	Staphylococcus aureus	Escherichia coli	Carsonella ruddii	Mycoplasma genitalium	Mycoplasma genitalium
Animals	What does the diet of most penguin species primarily consist of?	Krill	All of these	Squid	Fish	All of these
Animals	The largest penguin species on the planet is the Emperor Penguin. What is the smallest one?	All of these	Blue Penguin	Little Penguin	Fairy Penguin	All of these
Animals	There are various theories for the origin of the word penguin, such the Latin word pinguis, which means what?	Diver	Upright	Swimmer	Fat	Fat
Animals	What color is the crest on the head of the Southern Rockhopper Penguin, which is known for having red eyes?	Bright blue	Yellow	Red	Green and blue	Yellow
Animals	Which of these penguin species is the closest relative of the Magellanic Penguin?	African Penguin	All of these	Galapagos Penguin	Humboldt Penguin	All of these
Animals	What is the common name of the Eudyptes schlegeli penguin species that have a white face and live in the waters surrounding Antarctica?	King Penguin	All of these	Emperor Penguin	Royal Penguin	Royal Penguin
Animals	The sound of what musical instrument does the call of the Macaroni Penguin resemble?	Trumpet	Saxophone	Flute	Ocarina	Trumpet
Animals	Most penguin species are piscivorous, meaning what?	They do not drink water	They have a tubular body shape	They feed primarily on fish	An aquatic animal	They feed primarily on fish
Animals	What notable feature does the Gentoo Penguin possess which makes it easily recognizable?	A white stripe on the top of its head	A longer blue tail	A red crest on its head	A yellow spot on its abdomen	A white stripe on the top of its head
Animals	What is the special talent of the penguin Mumble from the 2006 animated movie Happy Feet?	Shoe making	Singing	Break dancing	Tap dancing	Tap dancing
Animals	What large mammal is the national animal of India?	Water Buffalo	Bengal tiger	Indian Rhinoceros	Indian Elephant	Bengal tiger
Animals	What type of Indian animals are included in the so-called Big Four selection?	Poisonous snakes	Largest insects	Most dangerous animals	Largest land animals	Poisonous snakes
Animals	What interesting physical feature does the Nicobar Bulbul, endemic to the Nicobar Islands of India, possess?	It has a bright red beak.	Its tail is very long and yellow.	Its eyes are purple.	It has a dark cap on its head.	It has a dark cap on its head.
Animals	Which of these statements is not true about the Indian Elephant?	It has a smaller trunk than the African Elephant.	All of these	Its abdomen is quite large compared to its skull, unlike African elephants.	It has larger ears than the African Elephant.	All of these
Animals	What interesting resting posture does the Indian Treeshrew, a.k.a. Madras Treeshrew, have?	Sprawling on the ground as if its dead	With its tail resting on its head	Cuddling its rear legs	Hanging upside down from a branch	With its tail resting on its head
Animals	What type of animal is the Indian Flying-fox, found in India, Bangladesh, China, and other parts of Asia?	Bat	Fox	Squirrel	Primate	Bat
Animals	Box Turtles are solitary creatures who neither want nor need companions.	True	False			True
Animals	Turtles have poor vision and cannot see in color.	False	True			False
Animals	In the winter, many turtles enter a dormant state called torpor which resembles hibernation .	False	True			True
Animals	Turtles are cold-blooded, meaning their internal temperature varies according to their outside environment.	False	True			True
Animals	The largest turtles are aquatic.	False	True			True
Animals	Sea turtles have glands near their eyes that filter the salt out of sea water.	True	False			False
Animals	Turtles can stick out their tongues to catch food.	False	True			False
Animals	The inner layer of the turtles shell contains 60 bones-- including parts of the turtles ribs and backbone.	True	False			True
Animals	A turtles eggs are leathery and soft.	False	True			True
Animals	A turtles lungs quickly break down, becoming less and less efficient over its lifetime.	True	False			False
Animals	Only sea turtles do not care for their young.	False	True			False
Animals	Turtles can breathe underwater.	False	True			True
Animals	All aquatic turtles have flippers instead of feet.	False	True			False
Animals	All turtles withdraw their head into their shell by contracting their neck to the side.	True	False			False
Animals	A turtles upper shell is called the plastron.	True	False			False
Animals	A turtles skin is made of scales, just like the skin of other reptiles.	False	True			True
Animals	What is the only place in the world you can see platypuses in the wild?	South-eastern Asia	Australia and Tasmania	Hawaii Island	South America	Australia and Tasmania
Animals	How do platypuses reproduce?	None of these	Platypuses reproduce asexually.	Platypuses lay eggs.	Platypuses are metatherian.	Platypuses lay eggs.
Animals	How does the platypus feed its young for the first three to four months?	The mother is feeding them with insects.	The mother is breastfeeding them.	The young rely on their yolk sacs for food.	The mother is lactating, but she has no teats.	The mother is lactating, but she has no teats.
Animals	What is the weight range of normal mature platypuses?	Between 3.2 and 4.6 kg	From 2.5 to 5.5 kg	Between 0.5 to 2.8 kg	From 0.7 to 2.4 kg	From 0.7 to 2.4 kg
Animals	Platypuses are venomous.	False	True			True
Animals	Platypuses use this method to detect their prey.	They rely on their well-developed sense of smell.	Platypuses rely mainly on their hearing.	They use electrolocation.	They rely on their exceptional eyesight.	They use electrolocation.
Animals	What is the normal life span of a platypus in the wild?	Up to 22 years	Up to 11 years	Around 2 years	About 4 years	Up to 11 years
Animals	Which of these statements is true about the diet of the platypus?	Platypuses are carnivores.	Platypuses are herbivores.	Platypuses are specialized eaters.	Platypuses are omnivores.	Platypuses are carnivores.
Animals	The platypus needs to eat around 10% of its own weight every day.	True	False			False
Animals	What is the normal body temperature of a healthy platypus?	Around 22°C	Around 28°C	Between 35°C and 37°C	About 32°C	About 32°C
Animals	What geographical region are chinchillas native to?	Asia	Africa	North America	South America	South America
Animals	How is the chinchilla classified according to the peak of its activeness throughout the day?	None of these	Nocturnal	Crepuscular	Duirnal	Crepuscular
Animals	What type of food do chinchillas prefer to feed on in the wild?	Plants	All of these	Insects	Fruits	All of these
Animals	What name is used for the social groups that chinchillas form when living in the wild?	Schools	Herds	Flocks	Troops	Herds
Animals	What chinchilla species has become extinct as a result of fur hunting?	All of these	Long-tailed Chinchilla	Giant Chinchilla	Red-nosed Chinchilla	Giant Chinchilla
Animals	In which of these studies are chinchillas used as animal models?	Studies of vocalization	Eyesight studies	Studies of the auditory system	Studies of the reproductive system	Studies of the auditory system
Animals	If the ears of a chinchilla turn red, it is a sign of this condition.	It is pregnant.	The animal is in heat.	The animal is disturbed or angry.	Overheating	Overheating
Animals	What kind of sounds do baby chinchillas produce in order to show their parents that they are hungry?	Hissing	Chirps	Barks	Clucking	Chirps
Animals	What is the literal translation of the word lanigera in the name of the chinchilla species Chinchilla lanigera?	Long-tailed	Having long ears	Sleeping in straw	Wearing a woolen coat	Wearing a woolen coat
Animals	This cat breed, developed by American breeder Ann Baker, is large and has blue eyes and soft fluffy coat with point coloration.	Ragdoll	LaPerm	Egyptian Mau	Savannah	Ragdoll
Animals	This large cat breed, created in the United States, has rabbit-like fur of medium length, rectangular body, and a fatty pad in the lower abdomen.	Balinese	California Spangled Cat	Munchkin	Ragamuffin	Ragamuffin
Animals	This cat breed occurred naturally, most probably in Egypt. It has silky short fur with special ticked coloration.	Korat	Sphynx	Abyssinian	Burmilla	Abyssinian
Animals	This very old cat breed, which occurred naturally in Turkey, has a slender body with medium length fur, usually white.	Ocicat	Cymric	Selkirk Rex	Turkish Angora	Turkish Angora
Animals	This cat breed, which appeared naturally in Thailand, has a slim body and short fur with point coloration.	Himalayan	Siamese	Korat	Burmese	Siamese
Animals	This hairless cat breed originated in Russia.	Don Sphynx	Donskoy	Don Hairless	All of these	All of these
Animals	This cat breed occurred in Thailand, has very slim elongated body, short fur and very large ears.	Oriental Shorthair	Selkirk Rex	Singapura	Siamese	Oriental Shorthair
Animals	This exotic cat breed was developed in Kenya by crossbreeding between a Serval and a domestic cat.	Bengal	Maine Coon	Egyptian Mau	Savannah	Savannah
Animals	This cat breed with curly hair appeared as a natural mutation in the United States.	Selkirk Rex	LaPerm	Kurilian Bobtail	American Curl	LaPerm
Animals	What cat breed, which originated in France, has thick waterproof grey fur, gold-colored eyes and large muscular body?	Chartreux	Chausie	Pixie-bob	LaPerm	Chartreux
Animals	To what geographic area is the ostrich native?	Asia	Africa	South America and Africa	Europe and Africa	Africa
Animals	The feathers of adult male ostriches are primarily of this color.	White	Gray	Brown	Black	Black
Animals	How many toes do ostriches have?	One toe	Two toes	Tree toes	Five toes	Two toes
Animals	What important internal organ does the ostrich lack?	Liver	Gallbladder	Spleen	All of these	Gallbladder
Animals	What defense method do ostriches use when they are attacked or feel threatened?	All of these	They bury their heads in the sand.	Kicking	They use their wings to beat the enemy.	Kicking
Animals	What does the diet of ostriches consist of?	Insects	All of these	Seeds	Grass	All of these
Animals	What unusual anatomical feature does the male ostrich possess?	It has four testicles.	It has a copulatory organ.	It has a very small horn on its head.	All of these	It has a copulatory organ.
Animals	Which is the largest subspecies of ostrich on the planet?	Southern Ostrich	Masai Ostrich	Red-necked Ostrich	Middle Eastern Ostrich	Red-necked Ostrich
Animals	Unlike other ostriches, this subspecies of ostrich has small feathers on its head.	Arabian Ostrich	Masai Ostrich	Somali Ostrich	North African Ostrich	Masai Ostrich
Animals	Which subspecies of ostrich became extinct around 1966?	Red-necked Ostrich	Middle Eastern Ostrich	Southern Ostrich	Somali Ostrich	Middle Eastern Ostrich
Animals	What are the anatomical differences between African elephants and Asian elephants?	All of these	In the tusks	In the ears	In the body size	All of these
Animals	Which elephant subspecies is the largest on the planet?	Sri Lankan Elephant	Indian Elephant	Forest Elephant	Savanna Elephant	Savanna Elephant
Animals	Which is the smallest elephant subspecies on the planet?	Forest Elephant	Sumatran Elephant	Indian Elephant	Sri Lankan Elephant	Sumatran Elephant
Animals	What elephant species has two fingerlike projections at the end of its trunk?	Asian Elephant	All of these	African Elephant	Sri Lankan Elephant	African Elephant
Animals	The tusks of mature elephants stop growing when the animal reaches a certain age.	False	True			False
Animals	What does the diet of elephants mostly consist of?	Leaves	Twigs	Grasses	Tree bark	Grasses
Animals	What statement is true about elephants mammary glands?	They have two pairs of mammary glands.	None of these	They have one pair of mammary glands.	They have only one mammary gland.	They have one pair of mammary glands.
Animals	How long does the gestation period of elephants last?	22 months	30 months	18 months	12 months	22 months
Animals	How do elephants protect their skin from the aggressive UV-radiation?	By wallowing in their own feces	By hiding in the shadow of thick branches	By wallowing in mud	None of these	By wallowing in mud
Animals	Why isnt the baby elephant able to control its trunk?	All of these	Because it is too heavy for it	Because it cannot feel it	Because it lacks muscle tone	Because it lacks muscle tone
Animals	Cockroaches belong to the order Blattaria. What is the meaning of the Latin word blatta?	Cockroach	Annoying	Fast	Pest	Cockroach
Animals	Apart from the American cockroach, what other cockroach species is among the best-known pests?	Oriental cockroach	Asian cockroach	German cockroach	All of these	All of these
Animals	What type of animal is the cockroach when classified according to the peak of its activeness?	Diurnal	None of these	Nocturnal	Crepuscular	Nocturnal
Animals	Which of these statements is true about the anatomy of cockroaches?	They have two ocelli, or simple eyes.	They have two long antennae on their heads.	All of these	They have large compound eyes.	All of these
Animals	Which of these statements is true about cockroaches?	They are wingless and have six legs.	They have two pairs of wings and six legs.	They have two wings and eight legs.	They have have two wings and six legs.	They have two pairs of wings and six legs.
Animals	What kind of interesting noise are cockroaches known to produce when they feel threatened?	Hissing	Crackling	Whistling	All of these	Hissing
Animals	What organs do cockroaches use for the purpose of respiration?	All of these	Gills	Lungs	Tracheae	Tracheae
Animals	Which of these statements is true about the reproduction of cockroaches?	All of these	Male roaches use court rituals to attract the female.	A few species can reproduce through parthenogenesis, or without the need of fertilization.	Males and females attract each other through pheromones.	All of these
Animals	How are cockroaches classified according to the way they deliver their young?	They are viviparous.	All of these	They are ovoviviparous.	They are oviparous.	All of these
Animals	Which of these statements is true about the cockroaches ability to survive in hard times?	They are able to slow down their heart rate.	Cockroaches can survive radiation up to 15 times stronger than the lethal dose for humans.	Some roaches can survive without food for about one month.	All of these	All of these
Animals	The pregnancy of this animal lasts from 2 to 3 years depending on the altitude it inhabits.	Spanish Imperial Eagle	Asian Elephant	All of these	Alpine Salamander	Alpine Salamander
Animals	These animals are usually monogamous and both parents take care of their young.	Hedgehogs	Swans	All of these	Wolves	Swans
Animals	For which of these animals is the following description true: The gestation period lasts 35–58 days. Smaller species have 5-6 babies, and larger species - 3-4 babies. The young are born blind.	Hedgehog	Lizard	Fox	Rabbit	Hedgehog
Animals	Which of the following statements is true about scorpions?	They give birth to their young one by one.	They lay the eggs and they hatch almost immediately.	They lay eggs which hatch after 2 weeks.	None of these	They give birth to their young one by one.
Animals	The Gastric-brooding frog is an extinct species that is famous for this unique way of incubating its eggs.	The mother keeps the eggs inside her mouth until they hatch.	The female keeps the fertilized eggs in pouches along her abdomen.	The female keeps the eggs between her rear legs until they hatch.	The mother swallows the eggs and incubates them inside her stomach.	The mother swallows the eggs and incubates them inside her stomach.
Animals	Which of these statements is true about the Jacksons Chameleon?	It lays about 15-30 eggs that hatch in 10 days.	It gives birth to 8-30 live young.	It lays about 5-10 eggs that hatch immediately.	It gives birth to 2-3 live young.	It gives birth to 8-30 live young.
Animals	Which of these statements is true about the Echidna, an egg-laying mammal?	The female lays 1 egg that hatches immediately.	The female lays 1 egg which she incubates in her pouch.	The female lays 3-5 eggs and incubates them for 26 days.	The female lays 2 eggs that are incubated by the male for 22 days.	The female lays 1 egg which she incubates in her pouch.
Animals	Which of these statements is true about the German cockroach?	The female carries her eggs in a capsule.	The female lays about 40 eggs.	All of these	In rare cases live births can occur.	All of these
Animals	Which of these statements is true about the Seahorse?	All of these	The male Seahorse has a brooding pouch on the front side of his body.	The male and the female stay together for life.	The female produces dozens to thousands of eggs.	All of these
Animals	Which of these statements is true about the King Penguin?	They are serially monogamous.	Both parents take part in the incubation.	All of these	The female lays 1 single egg.	All of these
Animals	What name is commonly used to refer to the guinea pig?	Netty	Poppy	Willy	Cavy	Cavy
Animals	How many times per year is a healthy female guinea pig able to give birth?	Twice	Seven times	Five times	Once	Five times
Animals	What geographic area did the guinea pig originate from?	South America	Africa	Australia and New Guinea	North America	South America
Animals	What term is commonly used to refer to the young of the guinea pig?	Pups	Kits	Calves	Piglets	Pups
Animals	What type of food does the guinea pig naturally feed on?	Grass	Grains	Green leaved	Nuts	Grass
Animals	The guinea pig is unable to produce this substance in its own body and gets it from its food.	Saliva	Vitamin C	Stomach acid	Digestive enzymes	Vitamin C
Animals	What plant is poisonous for guinea pigs and should never be offered to them?	All of these	All plants growing from a bulb	Bracken	Wild celery	All of these
Animals	In this 2009 Walt Disney action comedy movie the main characters are guinea pigs.	G-Force	The Fast and the Furry	Darwin	Fluffy Spies	G-Force
Animals	What actor voiced the guinea pig character called Rodney in the 1998 comedy movie Dr. Dolittle?	Jim Carrey	Chris Tucker	Eddie Murphy	Chris Rock	Chris Rock
Animals	The representatives of what guinea pig breed have extremely long hair that never stops growing all over their bodies?	Teddy	Texel	Abyssinian	Peruvian	Peruvian
Animals	To what continent are raccoons native?	North America	South America	Australia	Both Americas	North America
Animals	Captive raccoons are known for performing this vacuum activity.	Dousing their food	Scratching their belly	Playing dead	All of these	Dousing their food
Animals	Which of these regarding the reproduction of raccoons is correct?	Pregnancy can last from 54 to 70 days.	The male brings food for the young.	None of these	Females usually give birth to only one kit.	Pregnancy can last from 54 to 70 days.
Animals	What animal is a major predator for wild raccoons?	Coyote	Bald eagle	Bobcat	All of these	All of these
Animals	Raccoons are omnivorous animals but they have a preference for this type of food.	Invertebrates	Birds	Fruits and nuts	Fish	Fruits and nuts
Animals	What is the most important sense for raccoons?	Vision	Sense of smell	Hearing	Sense of touch	Sense of touch
Animals	Why is it not recommended to be keep raccoons as pets?	They have and intense odor.	Their fur promotes allergies.	They transmit many diseases.	They can be aggressive.	They can be aggressive.
Animals	What have raccoons been mostly hunted for throughout history?	Their fur	Their bones	Their meat	Their fat	Their fur
